model,window_id,source_file,class,label_index,vessel_group,split,start_seconds,end_seconds,predicted_label_index,predicted_class,probability_Cargo,probability_Passengership,probability_Tanker,probability_Tug,predicted_probability,confidence_margin,playback_command,noise_present,noise_type,vessel_audibility,ambiguity,confidence,notes
small_cnn,tug-40-000190000ms,Tug/40.wav,Tug,3,seaspan commander,test,190.0,195.0,2,Tanker,0.2903802394866943,0.2720313966274261,0.3157541155815124,0.121834248304367,0.3157541155815124,0.025373876094818115,ffplay -nodisp -autoexit -ss 190.000 -t 5 data/raw/deepship/Tug/40.wav,,,,,,
small_cnn,cargo-15-000150000ms,Cargo/15.wav,Cargo,0,new nada,test,150.0,155.0,2,Tanker,0.2781830132007599,0.2183791995048523,0.385631650686264,0.1178061366081237,0.385631650686264,0.1074486374855041,ffplay -nodisp -autoexit -ss 150.000 -t 5 data/raw/deepship/Cargo/15.wav,,,,,,
small_cnn,passengership-4-000085000ms,Passengership/4.wav,Passengership,1,malaspina,test,85.0,90.0,2,Tanker,0.3016832768917084,0.2778014242649078,0.3460999727249145,0.0744153410196304,0.3460999727249145,0.04441669583320612,ffplay -nodisp -autoexit -ss 85.000 -t 5 data/raw/deepship/Passengership/4.wav,,,,,,
small_cnn,tanker-19-000005000ms,Tanker/19.wav,Tanker,2,caribbean spirit,test,5.0,10.0,0,Cargo,0.3342781960964203,0.2980219423770904,0.3058300912380218,0.0618697516620159,0.3342781960964203,0.028448104858398493,ffplay -nodisp -autoexit -ss 5.000 -t 5 data/raw/deepship/Tanker/19.wav,,,,,,
small_cnn,passengership-12-000010000ms,Passengership/12.wav,Passengership,1,malaspina,test,10.0,15.0,0,Cargo,0.3194710314273834,0.281319260597229,0.3176301419734955,0.081579640507698,0.3194710314273834,0.0018408894538879395,ffplay -nodisp -autoexit -ss 10.000 -t 5 data/raw/deepship/Passengership/12.wav,,,,,,
small_cnn,tug-40-000175000ms,Tug/40.wav,Tug,3,seaspan commander,test,175.0,180.0,2,Tanker,0.2876439392566681,0.2819750010967254,0.3134472966194153,0.1169338300824165,0.3134472966194153,0.025803357362747192,ffplay -nodisp -autoexit -ss 175.000 -t 5 data/raw/deepship/Tug/40.wav,,,,,,
small_cnn,tug-40-000105000ms,Tug/40.wav,Tug,3,seaspan commander,test,105.0,110.0,0,Cargo,0.280938982963562,0.2654589116573334,0.2730750143527984,0.1805270761251449,0.280938982963562,0.007863968610763605,ffplay -nodisp -autoexit -ss 105.000 -t 5 data/raw/deepship/Tug/40.wav,,,,,,
small_cnn,cargo-15-000165000ms,Cargo/15.wav,Cargo,0,new nada,test,165.0,170.0,2,Tanker,0.2837050855159759,0.2209660708904266,0.385277658700943,0.1100511848926544,0.385277658700943,0.1015725731849671,ffplay -nodisp -autoexit -ss 165.000 -t 5 data/raw/deepship/Cargo/15.wav,,,,,,
small_cnn,cargo-15-000115000ms,Cargo/15.wav,Cargo,0,new nada,test,115.0,120.0,2,Tanker,0.2824011445045471,0.2232030779123306,0.3844391405582428,0.1099566891789436,0.3844391405582428,0.10203799605369568,ffplay -nodisp -autoexit -ss 115.000 -t 5 data/raw/deepship/Cargo/15.wav,,,,,,
small_cnn,cargo-15-000010000ms,Cargo/15.wav,Cargo,0,new nada,test,10.0,15.0,2,Tanker,0.2673030793666839,0.203206792473793,0.3823390007019043,0.1471510827541351,0.3823390007019043,0.11503592133522039,ffplay -nodisp -autoexit -ss 10.000 -t 5 data/raw/deepship/Cargo/15.wav,,,,,,
