window_id,source_file,class,label_index,vessel_name,vessel_group,session_identifier,split,start_seconds,end_seconds,source_sample_rate_hz,config_hash
cargo-103-000060000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,60.000,65.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000065000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,65.000,70.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000070000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,70.000,75.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000075000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,75.000,80.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000080000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,80.000,85.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000085000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,85.000,90.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000090000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,90.000,95.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000095000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,95.000,100.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000100000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,100.000,105.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000105000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,105.000,110.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000110000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,110.000,115.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000115000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,115.000,120.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000120000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,120.000,125.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000125000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,125.000,130.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000130000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,130.000,135.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000135000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,135.000,140.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000140000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,140.000,145.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000145000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,145.000,150.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000150000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,150.000,155.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000155000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,155.000,160.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000160000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,160.000,165.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000165000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,165.000,170.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000170000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,170.000,175.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000175000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,175.000,180.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000180000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,180.000,185.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000185000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,185.000,190.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000190000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,190.000,195.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000000000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,0.000,5.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000005000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,5.000,10.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000010000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,10.000,15.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000015000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,15.000,20.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000020000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,20.000,25.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000025000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,25.000,30.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000030000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,30.000,35.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000035000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,35.000,40.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000040000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,40.000,45.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000045000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,45.000,50.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000050000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,50.000,55.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000055000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,55.000,60.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000060000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,60.000,65.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000065000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,65.000,70.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000070000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,70.000,75.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000075000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,75.000,80.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000080000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,80.000,85.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000085000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,85.000,90.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000090000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,90.000,95.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000095000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,95.000,100.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000100000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,100.000,105.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000105000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,105.000,110.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000110000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,110.000,115.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000115000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,115.000,120.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000120000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,120.000,125.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000125000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,125.000,130.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000130000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,130.000,135.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000135000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,135.000,140.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000140000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,140.000,145.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000145000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,145.000,150.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000150000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,150.000,155.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000155000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,155.000,160.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000160000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,160.000,165.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000165000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,165.000,170.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000170000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,170.000,175.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000175000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,175.000,180.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000180000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,180.000,185.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000185000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,185.000,190.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000190000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,190.000,195.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-110-000195000ms,Cargo/110.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171215-214529-110,train,195.000,200.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000000000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,0.000,5.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000005000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,5.000,10.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000010000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,10.000,15.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000015000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,15.000,20.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000020000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,20.000,25.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000025000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,25.000,30.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000030000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,30.000,35.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000035000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,35.000,40.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000040000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,40.000,45.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000045000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,45.000,50.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000050000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,50.000,55.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000055000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,55.000,60.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000060000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,60.000,65.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000065000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,65.000,70.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000070000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,70.000,75.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000075000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,75.000,80.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000080000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,80.000,85.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000085000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,85.000,90.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000090000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,90.000,95.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000095000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,95.000,100.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000100000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,100.000,105.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000105000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,105.000,110.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000110000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,110.000,115.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000115000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,115.000,120.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000120000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,120.000,125.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000125000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,125.000,130.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000130000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,130.000,135.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000135000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,135.000,140.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000140000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,140.000,145.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000145000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,145.000,150.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000150000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,150.000,155.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000155000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,155.000,160.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000160000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,160.000,165.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000165000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,165.000,170.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000170000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,170.000,175.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000175000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,175.000,180.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-15-000180000ms,Cargo/15.wav,Cargo,0,NEW NADA,new nada,Cargo-20171114-195740-15,test,180.000,185.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-27-000000000ms,Cargo/27.wav,Cargo,0,SEASPAN RELIANT,seaspan reliant,Cargo-20171118-055532-27,train,0.000,5.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-27-000005000ms,Cargo/27.wav,Cargo,0,SEASPAN RELIANT,seaspan reliant,Cargo-20171118-055532-27,train,5.000,10.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-27-000010000ms,Cargo/27.wav,Cargo,0,SEASPAN RELIANT,seaspan reliant,Cargo-20171118-055532-27,train,10.000,15.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-27-000015000ms,Cargo/27.wav,Cargo,0,SEASPAN RELIANT,seaspan reliant,Cargo-20171118-055532-27,train,15.000,20.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
